iter	Logloss
0	0.6865205929
1	0.680960211
2	0.6754998697
3	0.6695748602
4	0.6634411899
5	0.6575603808
6	0.6525537006
7	0.647619267
8	0.6423317406
9	0.6372278963
10	0.6321774832
11	0.627138989
12	0.6224578071
13	0.6175775986
14	0.6126739489
15	0.6078179007
16	0.6031233131
17	0.5979973478
18	0.5935247967
19	0.5885081527
20	0.5834171375
21	0.5789566731
22	0.574538339
23	0.5705045613
24	0.5657851998
25	0.5618207004
26	0.5581044208
27	0.5540261086
28	0.5495439985
29	0.5458606185
30	0.5418895894
31	0.5376586474
32	0.5338154713
33	0.5302662237
34	0.5269320083
35	0.523148018
36	0.519812261
37	0.5164730212
38	0.5131233525
39	0.5098157761
40	0.5065352843
41	0.5031090601
42	0.500278399
43	0.4968708664
44	0.4935031231
45	0.4906895765
46	0.4872579739
47	0.4841854609
48	0.4811864824
49	0.4782562746
50	0.474974618
51	0.4716319754
52	0.4688145267
53	0.4659932637
54	0.462773802
55	0.4597753933
56	0.4568319766
57	0.454435921
58	0.4519169973
59	0.4489338994
60	0.4460922032
61	0.4435792693
62	0.4410648876
63	0.4385642493
64	0.4355585004
65	0.432994035
66	0.4306186399
67	0.4280050263
68	0.4258444745
69	0.4238361812
70	0.4216039379
71	0.4194074208
72	0.4174224622
73	0.41531962
74	0.4131146958
75	0.4110592878
76	0.4088324594
77	0.406474907
78	0.4043991249
79	0.4023297473
80	0.4006611682
81	0.3986643997
82	0.3965093544
83	0.3946720994
84	0.3927182331
85	0.3908251781
86	0.3888307695
87	0.3870354145
88	0.3852949707
89	0.3836758025
90	0.3820705056
91	0.3797623906
92	0.3778149272
93	0.3760141305
94	0.3743085017
95	0.3726642442
96	0.3709922442
97	0.369509002
98	0.3679843936
99	0.3661535332
100	0.3647896918
101	0.3632233781
102	0.3614750012
103	0.3599066477
104	0.3583738797
105	0.3571699136
106	0.3554821167
107	0.3541522405
108	0.3528421043
109	0.3515796606
110	0.3502425512
111	0.34891337
112	0.3477318864
113	0.3465142197
114	0.3452215323
115	0.3439599784
116	0.3427765656
117	0.3415006836
118	0.3402183486
119	0.3389819969
120	0.3378583373
121	0.336819809
122	0.335475106
123	0.3344289041
124	0.3332969091
125	0.3324006339
126	0.331204079
127	0.3299896055
128	0.3290097717
129	0.327958585
130	0.3269272417
131	0.3259884201
132	0.3248613864
133	0.3238836277
134	0.3229661191
135	0.3217969055
136	0.3206917016
137	0.3198058312
138	0.3186963643
139	0.317753895
140	0.3168901932
141	0.3159250244
142	0.3149613737
143	0.3140145369
144	0.3132857686
145	0.3124969452
146	0.311209034
147	0.3102142036
148	0.3092187646
149	0.3081527815
150	0.3073280083
151	0.3064634291
152	0.3056775725
153	0.3048746388
154	0.3039785359
155	0.3031831572
156	0.3024283838
157	0.3016341333
158	0.3008908497
159	0.3001920103
160	0.2993094646
161	0.2983107038
162	0.2974525898
163	0.2967809958
164	0.2959942603
165	0.2952795442
166	0.2945959339
167	0.293939825
168	0.2930339501
169	0.2922915006
170	0.2916307594
171	0.2909963561
172	0.2903845592
173	0.2897329913
174	0.2890891331
175	0.288557433
176	0.2880333224
177	0.2874397465
178	0.2869960005
179	0.2864710718
180	0.2858967441
181	0.2853844713
182	0.2848475819
183	0.2843069569
184	0.2835826821
185	0.2831167278
186	0.2825261083
187	0.2819991512
188	0.2815082135
189	0.2809384153
190	0.2801373331
191	0.2796152433
192	0.2791213944
193	0.27849847
194	0.2779939151
195	0.2775397951
196	0.2769079321
197	0.2764743507
198	0.275975048
199	0.2754676196
200	0.2749490735
201	0.2746291852
202	0.2740671457
203	0.2735506395
204	0.2732221466
205	0.2726343169
206	0.2720420753
207	0.2715120002
208	0.2710614309
209	0.270615185
210	0.2701304713
211	0.2697269465
212	0.2693367077
213	0.2688990683
214	0.2685445876
215	0.2681830022
216	0.2678484548
217	0.2674431246
218	0.2668569047
219	0.2663541582
220	0.2660620958
221	0.2656562865
222	0.2653290355
223	0.2649427814
224	0.2646184835
225	0.2641554495
226	0.2637557683
227	0.2631269422
228	0.2627509254
229	0.2622762061
230	0.2618845283
231	0.2615113049
232	0.2611258509
233	0.2608882764
234	0.2605158158
235	0.26017709
236	0.259919386
237	0.2595693979
238	0.2590647001
239	0.2586026475
240	0.2581294786
241	0.2578567519
242	0.2575753506
243	0.2570855796
244	0.2567310598
245	0.2564778418
246	0.25623493
247	0.255963337
248	0.255707518
249	0.255320839
250	0.2550622741
251	0.2547801895
252	0.2545680624
253	0.2542380786
254	0.2540162641
255	0.2537572776
256	0.2534161406
257	0.2531503864
258	0.2528523615
259	0.2525358956
260	0.252223413
261	0.251850139
262	0.2515636161
263	0.2512508702
264	0.2508423355
265	0.250625998
266	0.2504280821
267	0.2502498566
268	0.249927732
269	0.2495897657
270	0.2493892878
271	0.2491818298
272	0.2488917783
273	0.248661576
274	0.2484586618
275	0.2482070597
276	0.2479548857
277	0.2475829736
278	0.2473690728
279	0.2470573892
280	0.2467761932
281	0.2465889664
282	0.2464052109
283	0.2459629387
284	0.2457952877
285	0.2455991677
286	0.2452915123
287	0.2450120711
288	0.2448273611
289	0.2445966122
290	0.2444315173
291	0.2441483495
292	0.2440361763
293	0.2437470545
294	0.2435060069
295	0.2432369203
296	0.2430530149
297	0.242855444
298	0.2425876444
299	0.2423185847
300	0.2420652628
301	0.2418459071
302	0.24161416
303	0.2414373187
304	0.2411310969
305	0.2408798063
306	0.2407300507
307	0.2406400985
308	0.2404120602
309	0.2402942014
310	0.2401398414
311	0.2399950597
312	0.2398853795
313	0.2397231374
314	0.239387506
315	0.2391503317
316	0.2390112321
317	0.2388399736
318	0.2385632392
319	0.2383099298
320	0.2380926462
321	0.237944679
322	0.237835348
323	0.2376425391
324	0.2375290415
325	0.2373718094
326	0.2372134538
327	0.237059099
328	0.2368981498
329	0.2366696897
330	0.2365371854
331	0.2362071669
332	0.2360764155
333	0.2359480985
334	0.235763312
335	0.2356600274
336	0.235328264
337	0.2352087831
338	0.2349817819
339	0.2348001088
340	0.2344917517
341	0.2343417031
342	0.2342457892
343	0.2340501114
344	0.2339328335
345	0.2336686798
346	0.2334672142
347	0.2333295888
348	0.233107352
349	0.2329978828
350	0.2328111249
351	0.2326575617
352	0.2324729386
353	0.2323364766
354	0.2322056149
355	0.2320433369
356	0.2318895861
357	0.2316506934
358	0.2313886574
359	0.2312742347
360	0.2310739471
361	0.2309310738
362	0.2308049434
363	0.2306798385
364	0.2304479884
365	0.2302824234
366	0.2300874906
367	0.2299425154
368	0.2298662139
369	0.229645206
370	0.2295395823
