Client,data_recente,target,qt_faltas,moda_staff_faltante,moda_servico_faltante,moda_servico_cancelado,moda_staff_cancelado,antecedencia,qt_cancelamentos,moda_staff_prestou_servico,moda_dia,qte_servicos_por_dia,media,mediana,desvio_padrao,min,max,sum,qte_servico_recebido,recencia,ultimo_pagamento
HOWC01,2018-06-27,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Tuesday,1.0,40.0,40.0,,40.0,40.0,40.0,1,50.0,40.0
PARS01,2018-06-27,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
COXH01,2018-06-27,0,0,nenhum,nenhum,nenhum,nenhum,,0,KELLY,Wednesday,3.0,37.833333333333336,31.05,14.975340841975294,27.45,55.0,113.5,3,35.0,113.5
MCCB01,2018-06-27,0,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Thursday,1.0,40.0,40.0,14.142135623730951,30.0,50.0,80.0,2,34.0,50.0
YANM01,2018-06-27,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
SHAS01,2018-06-27,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Wednesday,1.0,40.0,40.0,,40.0,40.0,40.0,1,49.0,40.0
WAX*01,2018-07-28,1,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Friday,1.0,40.0,40.0,,40.0,40.0,40.0,1,113.0,40.0
DUFD01,2018-07-27,0,4,JJ,CON,CON,JJ,4.0,1,JJ,Friday,1.0,60.0,60.0,0.0,60.0,60.0,180.0,3,29.0,60.0
BOTS01,2018-06-28,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
BOTC01,2018-06-28,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
BOTK01,2018-06-28,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
BENC01,2018-07-25,0,0,nenhum,nenhum,nenhum,nenhum,,0,JOANNE,Thursday,1.0,67.5,67.5,3.5355339059327378,65.0,70.0,135.0,2,27.0,70.0
SIDA01,2018-07-19,0,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Thursday,1.0,60.0,60.0,0.0,60.0,60.0,240.0,4,21.0,60.0
YEHC01,2018-06-28,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
NORE01,2018-04-06,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
HOG*01,2018-06-28,0,0,nenhum,nenhum,nenhum,nenhum,,0,SINEAD,Tuesday,1.0,35.0,35.0,,35.0,35.0,35.0,1,72.0,35.0
SILG01,2018-06-28,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
BATP01,2018-06-28,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Tuesday,1.0,40.0,40.0,,40.0,40.0,40.0,1,51.0,40.0
WASS01,2018-06-28,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
MAKM01,2018-07-26,0,0,nenhum,nenhum,nenhum,nenhum,,0,SINEAD,Thursday,1.3333333333333333,43.0,42.5,11.224972160321824,32.0,55.0,172.0,4,28.0,50.0
BURD01,2018-06-28,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
ADAP01,2018-06-28,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
DOWR01,2018-07-25,0,0,nenhum,nenhum,SBD,SINEAD,1.0,1,BECKY,Thursday,1.0,52.8,52.0,4.147288270665544,50.0,60.0,264.0,5,13.0,50.0
WALT01,2018-06-28,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
COLR02,2018-06-29,0,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Friday,1.0,30.0,30.0,,30.0,30.0,30.0,1,56.0,30.0
COLR01,2018-06-29,0,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Thursday,1.0,30.0,30.0,,30.0,30.0,30.0,1,64.0,30.0
HELJ01,2018-07-14,0,0,nenhum,nenhum,SHCM,BECKY,2.0,1,BECKY,Friday,1.0,40.0,40.0,14.142135623730951,30.0,50.0,80.0,2,53.0,50.0
MCMC01,2018-06-29,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
GREL01,2018-06-29,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
SAVP01,2018-06-29,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Saturday,2.0,103.25,103.25,30.05203820042827,82.0,124.5,206.5,2,76.0,206.5
FLEL01,2018-06-29,0,0,nenhum,nenhum,nenhum,nenhum,,0,SINEAD,Wednesday,1.0,35.0,35.0,,35.0,35.0,35.0,1,51.0,35.0
OHAG01,2018-06-29,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Friday,2.0,43.125,41.0,12.317839366815377,30.5,60.0,172.5,4,42.0,90.5
OHA*01,2018-06-29,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
