Receipt,Date,Description,Client,Staff,Quantity,Amount,GST,PST,mes_nome,mes_n,dia_nome,dia_n
245,2018-04-19,Women's hair cut,LUL01,BECKY,1,60.0,3.0,4.8,April,4,Thursday,3
246,2018-04-19,Women's hair cut,BROT01,SINEAD,1,70.0,3.5,5.6,April,4,Thursday,3
247,2018-04-19,Women's hair cut,TOHS01,JJ,1,82.0,4.1,6.56,April,4,Thursday,3
247,2018-04-19,Shu cotton uzu 75m,TOHS01,JJ,1,39.9,1.995,3.192,April,4,Thursday,3
248,2018-04-19,Men's hair cut,BUDG02,SINEAD,1,35.0,1.75,2.8,April,4,Thursday,3
249,2018-04-19,Women's hair cut,COAA01,JJ,1,82.0,4.1,6.56,April,4,Thursday,3
25,2018-03-20,Women's hair cut,ERWS01,JJ,1,82.0,4.1,6.56,March,3,Tuesday,1
251,2018-04-19,Men's hair cut,JOHD01,SINEAD,1,35.0,1.75,2.8,April,4,Thursday,3
252,2018-04-20,Blowdry,FOXS01,JJ,1,32.0,1.6,2.56,April,4,Friday,4
253,2018-04-20,Women's hair cut,KINN01,JJ,1,82.0,4.1,6.56,April,4,Friday,4
253,2018-04-20,PO clean volume con 250ml,KINN01,JJ,1,35.39,1.7695,2.8312,April,4,Friday,4
254,2018-04-20,Women's hair cut,SEDD01,BECKY,1,60.0,3.0,4.8,April,4,Friday,4
255,2018-04-20,Women's hair cut,SCOL01,BECKY,1,60.0,3.0,4.8,April,4,Friday,4
256,2018-04-20,Men's hair cut,FINW01,BECKY,1,30.0,1.5,2.4,April,4,Friday,4
257,2018-04-20,Women's hair cut,NICM01,JJ,1,82.0,4.1,6.56,April,4,Friday,4
258,2018-04-20,Men's hair cut,BARW01,JJ,1,40.0,2.0,3.2,April,4,Friday,4
258,2018-04-20,PO Purify sh 250ml,BARW01,JJ,1,30.73,1.5365,2.4584,April,4,Friday,4
259,2018-04-20,Blowdry,WARG01,JJ,1,52.0,2.6,4.16,April,4,Friday,4
26,2018-03-20,Women's hair cut,HOT01,JJ,1,82.0,4.1,6.56,March,3,Tuesday,1
260,2018-04-20,Women's hair cut,KOSI01,JJ,1,82.0,4.1,6.56,April,4,Friday,4
260,2018-04-20,Color full color,KOSI01,JJ,1,0.0,0.0,0.0,April,4,Friday,4
262,2018-04-20,Blowdry,HUDM01,BECKY,1,30.0,1.5,2.4,April,4,Friday,4
263,2018-04-20,Men's hair cut,OHAG01,JJ,1,40.0,2.0,3.2,April,4,Friday,4
263,2018-04-20,Shu shape paste 71g,OHAG01,JJ,1,42.0,2.1,3.36,April,4,Friday,4
264,2018-04-21,Blowdry,NIDN01,JJ,1,32.0,1.6,2.56,April,4,Saturday,5
265,2018-04-21,Women's hair cut,RICP01,SINEAD,1,70.0,3.5,5.6,April,4,Saturday,5
266,2018-04-21,Dry updo,WILB01,BECKY,1,60.0,3.0,4.8,April,4,Saturday,5
267,2018-04-21,Men's hair cut,MCND01,SINEAD,1,35.0,1.75,2.8,April,4,Saturday,5
268,2018-04-21,LP homme strong 150m,WALK_IN,HOUSE,2,37.52,1.876,3.0016,April,4,Saturday,5
269,2018-04-21,Women's hair cut,HEIM01,BECKY,1,60.0,3.0,4.8,April,4,Saturday,5
27,2018-03-20,Women's hair cut,MAIK01,JJ,1,82.0,4.1,6.56,March,3,Tuesday,1
270,2018-04-21,Men's hair cut,SHAA01,SINEAD,1,35.0,1.75,2.8,April,4,Saturday,5
271,2018-04-21,Color full color,RUTR01,JJ,1,0.0,0.0,0.0,April,4,Saturday,5
271,2018-04-21,Women's hair cut,RUTR01,JJ,1,102.0,5.1,8.16,April,4,Saturday,5
272,2018-04-21,Women's hair cut,NEML01,SINEAD,1,70.0,3.5,5.6,April,4,Saturday,5
273,2018-04-21,Women's hair cut,STEI01,BECKY,1,60.0,3.0,4.8,April,4,Saturday,5
273,2018-04-21,Women's hair cut,STEM01,BECKY,1,60.0,3.0,4.8,April,4,Saturday,5
274,2018-04-21,Women's hair cut,CORS01,JJ,1,102.0,5.1,8.16,April,4,Saturday,5
275,2018-04-21,Women's hair cut,LEIF01,SINEAD,1,70.0,3.5,5.6,April,4,Saturday,5
276,2018-04-21,Blowdry,HILJ01,SINEAD,1,50.0,2.5,4.0,April,4,Saturday,5
277,2018-04-21,Blowdry,BARA01,SINEAD,1,30.0,1.5,2.4,April,4,Saturday,5
277,2018-04-21,Treatments 1,BARA01,SINEAD,1,20.0,1.0,1.6,April,4,Saturday,5
278,2018-04-21,Men's hair cut,DELC01,BECKY,1,30.0,1.5,2.4,April,4,Saturday,5
28,2018-03-21,Women's hair cut,YUES01,JJ,1,82.0,4.1,6.56,March,3,Wednesday,2
280,2018-04-21,Dry updo,ALIR01,JJ,1,82.0,4.1,6.56,April,4,Saturday,5
281,2018-04-20,Consultation,SHIG01,BECKY,1,0.0,0.0,0.0,April,4,Friday,4
282,2018-04-22,Blow dry bundle 5+1,WONM02,HOUSE,1,260.0,13.0,20.8,April,4,Sunday,6
283,2018-04-22,PO hydrate con 250ml,WALK_IN,BECKY,1,37.25,1.8625,2.98,April,4,Sunday,6
284,2018-04-22,Men's hair cut,APTM01,JJ,1,30.0,1.5,2.4,April,4,Sunday,6
