Receipt,Date,Description,Client,Staff,Quantity,Amount,GST,PST,mes_nome,mes_n,dia_nome,dia_n
417,2018-05-04,Women's hair cut,BENS01,JJ,1,82.0,4.1,6.56,May,5,Friday,4
418,2018-05-04,Women's hair cut,MICK01,JJ,1,82.0,4.1,6.56,May,5,Friday,4
42,2018-03-23,Men's hair cut,TAYE01,JJ,1,40.0,2.0,3.2,March,3,Friday,4
423,2018-05-04,Highlights partial,SCHC01,JOANNE,1,100.0,5.0,8.0,May,5,Friday,4
423,2018-05-04,Shu essence absolue oil 150m,SCHC01,JOANNE,1,62.1,3.105,4.968,May,5,Friday,4
425,2018-05-04,Men's hair cut,NICP01,BECKY,1,50.0,2.5,4.0,May,5,Friday,4
425,2018-05-04,KM Easy rider 100g,NICP01,BECKY,1,28.8,1.44,2.304,May,5,Friday,4
426,2018-05-04,Men's hair cut,CAND01,JJ,1,60.0,3.0,4.8,May,5,Friday,4
428,2018-05-04,Color touch up,PENM01,JOANNE,1,60.0,3.0,4.8,May,5,Friday,4
428,2018-05-04,Blow dry bundle 5+1,PENM01,HOUSE,1,240.0,12.0,19.2,May,5,Friday,4
429,2018-05-05,Blowdry,WONM02,JJ,1,52.0,2.6,4.16,May,5,Saturday,5
43,2018-03-23,Women's hair cut,MOOH01,JJ,1,82.0,4.1,6.56,March,3,Friday,4
431,2018-05-05,Women's hair cut,SCOJ01,BECKY,1,60.0,3.0,4.8,May,5,Saturday,5
432,2018-05-05,Blowdry,BROF01,BECKY,1,40.0,2.0,3.2,May,5,Saturday,5
432,2018-05-05,Accent lights and color,BROF01,JOANNE,1,130.0,6.5,10.4,May,5,Saturday,5
433,2018-05-05,Men's hair cut,LAMC01,BECKY,1,30.0,1.5,2.4,May,5,Saturday,5
434,2018-05-05,Men's hair cut,ALIA01,BECKY,1,30.0,1.5,2.4,May,5,Saturday,5
435,2018-05-05,Women's hair cut,ODOA01,BECKY,1,40.0,2.0,3.2,May,5,Saturday,5
436,2018-05-05,Women's hair cut,SHIL01,SINEAD,1,70.0,3.5,5.6,May,5,Saturday,5
437,2018-05-05,Men's hair cut,BOTN01,SINEAD,1,35.0,1.75,2.8,May,5,Saturday,5
438,2018-05-05,Women's hair cut,CHUJ01,SINEAD,1,70.0,3.5,5.6,May,5,Saturday,5
439,2018-05-05,Blowdry,WYRC01,JJ,1,32.0,1.6,2.56,May,5,Saturday,5
44,2018-03-23,Women's hair cut,MUMK01,JJ,1,82.0,4.1,6.56,March,3,Friday,4
440,2018-05-05,Balayage,BENL01,JOANNE,1,190.0,9.5,15.2,May,5,Saturday,5
440,2018-05-05,Women's hair cut,BENL01,JJ,1,92.0,4.6,7.36,May,5,Saturday,5
441,2018-05-05,Women's hair cut,GAGC01,JJ,1,82.0,4.1,6.56,May,5,Saturday,5
442,2018-05-05,Color touch up,TUMM01,JOANNE,1,60.0,3.0,4.8,May,5,Saturday,5
442,2018-05-05,Women's hair cut,TUMM01,JJ,1,92.0,4.6,7.36,May,5,Saturday,5
442,2018-05-05,Shu essence absolue oil 150m,TUMM01,JOANNE,1,62.1,3.105,4.968,May,5,Saturday,5
443,2018-05-05,Women's hair cut,FISV01,BECKY,1,60.0,3.0,4.8,May,5,Saturday,5
445,2018-05-05,Accent lights and color,ERWS01,JOANNE,1,140.0,7.0,11.2,May,5,Saturday,5
445,2018-05-05,Women's hair cut,ERWS01,JJ,1,102.0,5.1,8.16,May,5,Saturday,5
446,2018-05-05,Blowdry,HUDM01,JJ,1,52.0,2.6,4.16,May,5,Saturday,5
447,2018-05-05,Color touch up,CAYK01,JOANNE,1,70.0,3.5,5.6,May,5,Saturday,5
448,2018-05-05,Women's hair cut,HESM01,SINEAD,1,70.0,3.5,5.6,May,5,Saturday,5
449,2018-05-05,Color touch up,IRWE01,JOANNE,1,70.0,3.5,5.6,May,5,Saturday,5
449,2018-05-05,Men's hair cut,IRWE01,SINEAD,1,55.0,2.75,4.4,May,5,Saturday,5
449,2018-05-05,Consultation,IRWE01,SINEAD,1,0.0,0.0,0.0,May,5,Saturday,5
45,2018-03-23,Women's hair cut,STEL01,JJ,1,82.0,4.1,6.56,March,3,Friday,4
451,2018-05-06,Blowdry,HUDS01,JJ,1,52.0,2.6,4.16,May,5,Sunday,6
451,2018-05-06,Shu silk bloom masque200,HUDS01,JJ,1,59.4,2.97,4.752,May,5,Sunday,6
454,2018-05-06,Women's hair cut,SARM01,JJ,1,82.0,4.1,6.56,May,5,Sunday,6
456,2018-05-06,Women's hair cut,JONK01,BECKY,1,60.0,3.0,4.8,May,5,Sunday,6
46,2018-03-23,Women's hair cut,DAV*01,JJ,1,82.0,4.1,6.56,March,3,Friday,4
460,2018-05-08,Men's hair cut,LEEP01,JJ,1,60.0,3.0,4.8,May,5,Tuesday,1
461,2018-05-08,Women's hair cut,BRES01,JJ,1,102.0,5.1,8.16,May,5,Tuesday,1
462,2018-05-08,Blow dry bundle 5+1,NELT01,HOUSE,1,250.0,12.5,20.0,May,5,Tuesday,1
463,2018-05-08,Men's hair cut,BATP01,JJ,1,40.0,2.0,3.2,May,5,Tuesday,1
465,2018-05-08,Color full color,KIMS01,JOANNE,1,75.0,3.75,6.0,May,5,Tuesday,1
465,2018-05-08,Women's hair cut,KIMS01,JJ,1,92.0,4.6,7.36,May,5,Tuesday,1
468,2018-05-08,Highlights full,TAYL01,JOANNE,1,160.0,8.0,12.8,May,5,Tuesday,1
469,2018-05-09,Blowdry,COLG01,BECKY,1,50.0,2.5,4.0,May,5,Wednesday,2
47,2018-03-24,Men's hair cut,APTM01,JJ,1,40.0,2.0,3.2,March,3,Saturday,5
470,2018-05-22,NeuMa Argan Oil 75ml,CARB01,BECKY,1,29.7,1.485,2.376,May,5,Tuesday,1
470,2018-05-22,NeuMa Blowdry Lotion 250ml,CARB01,BECKY,1,29.7,1.485,2.376,May,5,Tuesday,1
470,2018-05-22,Consultation,CARB01,BECKY,1,0.0,0.0,0.0,May,5,Tuesday,1
471,2018-05-08,Women's hair cut,JUDJ01,SINEAD,1,70.0,3.5,5.6,May,5,Tuesday,1
472,2018-05-08,Women's hair cut,KIMY01,JJ,1,82.0,4.1,6.56,May,5,Tuesday,1
473,2018-05-08,Women's hair cut,BOSJ01,SINEAD,1,90.0,4.5,7.2,May,5,Tuesday,1
473,2018-05-08,PO Clean Volume sh 250ml,BOSJ01,SINEAD,1,30.73,1.5365,2.4584,May,5,Tuesday,1
473,2018-05-08,PO clean volume con 250ml,BOSJ01,SINEAD,1,33.52,1.676,2.6816,May,5,Tuesday,1
474,2018-05-08,Men's hair cut,PIPJ01,JJ,1,60.0,3.0,4.8,May,5,Tuesday,1
475,2018-05-08,Blowdry,HILJ01,SINEAD,1,50.0,2.5,4.0,May,5,Tuesday,1
476,2018-05-08,Women's hair cut,ALZR01,BECKY,1,60.0,3.0,4.8,May,5,Tuesday,1
477,2018-05-08,Men's hair cut,HOWC01,JJ,1,40.0,2.0,3.2,May,5,Tuesday,1
479,2018-05-08,Highlights partial,TAYJ01,JOANNE,1,160.0,8.0,12.8,May,5,Tuesday,1
479,2018-05-08,Women's hair cut,TAYJ01,JJ,1,102.0,5.1,8.16,May,5,Tuesday,1
481,2018-05-08,Blowdry,MCPL01,BECKY,1,40.0,2.0,3.2,May,5,Tuesday,1
481,2018-05-08,Highlights full,MCPL01,JOANNE,1,150.0,7.5,12.0,May,5,Tuesday,1
483,2018-05-09,Women's hair cut,ANDN01,SINEAD,1,70.0,3.5,5.6,May,5,Wednesday,2
484,2018-05-09,Women's hair cut,SINJ01,JJ,1,82.0,4.1,6.56,May,5,Wednesday,2
485,2018-05-09,Women's hair cut,CRIV01,SINEAD,1,70.0,3.5,5.6,May,5,Wednesday,2
486,2018-05-09,Color full color,CABL01,JOANNE,1,65.0,3.25,5.2,May,5,Wednesday,2
488,2018-05-09,Accent lights and color,BERH01,JOANNE,1,90.0,4.5,7.2,May,5,Wednesday,2
488,2018-05-09,Women's hair cut,BERH01,JJ,1,92.0,4.6,7.36,May,5,Wednesday,2
489,2018-05-09,Men's hair cut,FLEL01,SINEAD,1,35.0,1.75,2.8,May,5,Wednesday,2
490,2018-05-09,Women's hair cut,RUPN01,SINEAD,1,70.0,3.5,5.6,May,5,Wednesday,2
491,2018-05-09,Women's hair cut,MCLE01,SINEAD,1,70.0,3.5,5.6,May,5,Wednesday,2
492,2018-05-09,Men's hair cut,SHAS01,JJ,1,40.0,2.0,3.2,May,5,Wednesday,2
494,2018-05-10,Men's hair cut,COLJ01,JJ,1,60.0,3.0,4.8,May,5,Thursday,3
495,2018-05-10,Women's hair cut,SOLR01,BECKY,1,60.0,3.0,4.8,May,5,Thursday,3
497,2018-05-10,Women's hair cut,DINJ01,BECKY,1,60.0,3.0,4.8,May,5,Thursday,3
499,2018-05-10,Women's hair cut,MONE01,SINEAD,1,70.0,3.5,5.6,May,5,Thursday,3
50,2018-03-27,Women's hair cut,FELH01,JJ,1,82.0,4.1,6.56,March,3,Tuesday,1
500,2018-05-10,Children (under 12),NORB01,JJ,1,0.0,0.0,0.0,May,5,Thursday,3
500,2018-05-10,Women's hair cut,NORL01,JJ,1,82.0,4.1,6.56,May,5,Thursday,3
501,2018-05-10,Women's hair cut,SHAP01,BECKY,1,60.0,3.0,4.8,May,5,Thursday,3
502,2018-05-10,Women's hair cut,STEP01,SINEAD,1,70.0,3.5,5.6,May,5,Thursday,3
503,2018-05-10,Women's hair cut,BREH01,JJ,1,102.0,5.1,8.16,May,5,Thursday,3
504,2018-05-10,Blowdry,HOLL01,SINEAD,1,50.0,2.5,4.0,May,5,Thursday,3
505,2018-05-10,Accent lights and color,HOLS01,JOANNE,1,120.0,6.0,9.6,May,5,Thursday,3
506,2018-05-10,Blow dry bundle 5+1,AINM01,HOUSE,1,230.0,11.5,18.4,May,5,Thursday,3
507,2018-05-10,Men's hair cut,TAYR01,JJ,1,40.0,2.0,3.2,May,5,Thursday,3
507,2018-05-10,Men's hair cut,TAYT01,SINEAD,1,35.0,1.75,2.8,May,5,Thursday,3
508,2018-05-10,Men's hair cut,THOD01,JJ,1,60.0,3.0,4.8,May,5,Thursday,3
51,2018-03-27,Women's hair cut,MINA01,JJ,1,82.0,4.1,6.56,March,3,Tuesday,1
510,2018-05-10,Blowdry,BROS01,BECKY,1,50.0,2.5,4.0,May,5,Thursday,3
511,2018-05-10,Accent lights and color,BOES01,JOANNE,1,120.0,6.0,9.6,May,5,Thursday,3
512,2018-05-10,Highlights partial,KALA01,JOANNE,1,150.0,7.5,12.0,May,5,Thursday,3
512,2018-05-10,Women's hair cut,KALA01,JJ,1,92.0,4.6,7.36,May,5,Thursday,3
513,2018-05-10,Women's hair cut,MARK01,BECKY,1,60.0,3.0,4.8,May,5,Thursday,3
514,2018-05-10,Highlights full,REIC01,JOANNE,1,140.0,7.0,11.2,May,5,Thursday,3
515,2018-05-10,Men's hair cut,BUDG02,SINEAD,1,55.0,2.75,4.4,May,5,Thursday,3
515,2018-05-10,KM Night Rider 100g,BUDG02,SINEAD,1,28.8,1.44,2.304,May,5,Thursday,3
516,2018-05-10,Women's hair cut,ROSD01,JJ,1,82.0,4.1,6.56,May,5,Thursday,3
517,2018-05-11,Women's hair cut,THOW01,JJ,1,102.0,5.1,8.16,May,5,Friday,4
518,2018-05-11,Blowdry,SIRM01,BECKY,1,50.0,2.5,4.0,May,5,Friday,4
519,2018-05-11,Shu ultimate remedy serum 30m,WALK_IN,JOANNE,1,56.0,2.8,4.48,May,5,Friday,4
52,2018-03-27,Women's hair cut,BRES01,JJ,1,82.0,4.1,6.56,March,3,Tuesday,1
520,2018-05-11,Women's hair cut,NOWT01,JJ,1,82.0,4.1,6.56,May,5,Friday,4
521,2018-05-11,Color touch up,LEEO01,JOANNE,1,50.0,2.5,4.0,May,5,Friday,4
523,2018-05-11,Men's hair cut,GIEC01,JJ,1,40.0,2.0,3.2,May,5,Friday,4
524,2018-05-11,Men's hair cut,MURS01,BECKY,1,5.0,0.25,0.4,May,5,Friday,4
525,2018-05-11,Women's hair cut,GRAA01,JJ,1,82.0,4.1,6.56,May,5,Friday,4
526,2018-05-11,Consultation,REDM01,JJ,1,0.0,0.0,0.0,May,5,Friday,4
527,2018-05-11,Blowdry,KHAN01,BECKY,1,30.0,1.5,2.4,May,5,Friday,4
528,2018-05-11,Highlights partial,COWL01,JOANNE,1,150.0,7.5,12.0,May,5,Friday,4
528,2018-05-11,Women's hair cut,COWL01,BECKY,1,70.0,3.5,5.6,May,5,Friday,4
528,2018-05-11,Smart Bond,COWL01,JOANNE,1,25.0,1.25,2.0,May,5,Friday,4
529,2018-05-11,Color touch up,COLG01,JOANNE,1,70.0,3.5,5.6,May,5,Friday,4
529,2018-05-11,Blowdry,COLG01,BECKY,1,50.0,2.5,4.0,May,5,Friday,4
530,2018-05-11,Women's hair cut,CHA*01,JJ,1,82.0,4.1,6.56,May,5,Friday,4
531,2018-05-11,Men's hair cut,LIMB01,BECKY,1,30.0,1.5,2.4,May,5,Friday,4
532,2018-05-11,Women's hair cut,NICL01,JJ,1,82.0,4.1,6.56,May,5,Friday,4
532,2018-05-11,Shu texture wave 193g,NICL01,JJ,1,37.8,1.89,3.024,May,5,Friday,4
533,2018-05-11,Blowdry,ARRM01,JJ,1,52.0,2.6,4.16,May,5,Friday,4
534,2018-05-11,Men's hair cut,WARN01,BECKY,1,30.0,1.5,2.4,May,5,Friday,4
535,2018-05-11,Men's hair cut,BROS02,BECKY,1,30.0,1.5,2.4,May,5,Friday,4
536,2018-05-11,Blowdry,TIML01,JJ,1,32.0,1.6,2.56,May,5,Friday,4
539,2018-05-11,Men's hair cut,WARK01,BECKY,1,30.0,1.5,2.4,May,5,Friday,4
54,2018-03-27,Women's hair cut,BUSC01,JJ,1,82.0,4.1,6.56,March,3,Tuesday,1
540,2018-05-12,Men's hair cut,STOD01,SINEAD,1,55.0,2.75,4.4,May,5,Saturday,5
541,2018-05-12,Blowdry,PHIJ01,SINEAD,1,50.0,2.5,4.0,May,5,Saturday,5
542,2018-05-12,Women's hair cut,EZIR01,JJ,1,82.0,4.1,6.56,May,5,Saturday,5
542,2018-05-12,Shu essence absolue C.milk 250,EZIR01,JJ,1,50.4,2.52,4.032,May,5,Saturday,5
543,2018-05-12,Highlights full,SMIS01,JOANNE,1,140.0,7.0,11.2,May,5,Saturday,5
544,2018-05-12,Highlights partial,GOSD01,JOANNE,1,130.0,6.5,10.4,May,5,Saturday,5
547,2018-05-12,Consultation,JASA01,JJ,1,0.0,0.0,0.0,May,5,Saturday,5
547,2018-05-12,Blow dry bundle 5+1,JASA01,HOUSE,1,260.0,13.0,20.8,May,5,Saturday,5
548,2018-05-12,Blowdry,PEEL01,SINEAD,1,30.0,1.5,2.4,May,5,Saturday,5
549,2018-05-12,Highlights partial,TYRK01,JOANNE,1,150.0,7.5,12.0,May,5,Saturday,5
549,2018-05-12,Blowdry,TYRK01,SINEAD,1,40.0,2.0,3.2,May,5,Saturday,5
55,2018-03-27,Women's hair cut,DESA01,JJ,1,82.0,4.1,6.56,March,3,Tuesday,1
550,2018-05-12,Women's hair cut,TAYJ02,JJ,1,92.0,4.6,7.36,May,5,Saturday,5
550,2018-05-12,Highlights full,TAYJ02,JOANNE,1,150.0,7.5,12.0,May,5,Saturday,5
551,2018-05-12,Color full color,MARM01,JOANNE,1,65.0,3.25,5.2,May,5,Saturday,5
551,2018-05-12,Elchim diffuser,MARM01,HOUSE,1,0.0,0.0,0.0,May,5,Saturday,5
551,2018-05-12,elchim dryer,MARM01,JOANNE,1,249.0,12.45,19.92,May,5,Saturday,5
551,2018-05-12,KM Killer curls 200ml,MARM01,JOANNE,1,36.0,1.8,2.88,May,5,Saturday,5
552,2018-05-12,Women's hair cut,TINT02,JJ,1,82.0,4.1,6.56,May,5,Saturday,5
553,2018-05-12,Men's hair cut,ROST01,JJ,1,40.0,2.0,3.2,May,5,Saturday,5
554,2018-05-12,Women's hair cut,LYL01,JJ,1,82.0,4.1,6.56,May,5,Saturday,5
555,2018-05-12,Men's hair cut,MARG01,JJ,1,60.0,3.0,4.8,May,5,Saturday,5
556,2018-05-12,Blowdry,SARM01,SINEAD,1,50.0,2.5,4.0,May,5,Saturday,5
556,2018-05-12,Color full color,SARM01,JOANNE,1,85.0,4.25,6.8,May,5,Saturday,5
557,2018-05-12,Blowdry,NELT01,SINEAD,1,50.0,2.5,4.0,May,5,Saturday,5
558,2018-05-12,Blowdry,HUDM01,SINEAD,1,50.0,2.5,4.0,May,5,Saturday,5
56,2018-03-28,Women's hair cut,HOP01,JJ,1,82.0,4.1,6.56,March,3,Wednesday,2
561,2018-05-15,Women's hair cut,MOLC01,BECKY,1,60.0,3.0,4.8,May,5,Tuesday,1
562,2018-05-15,Women's hair cut,MONL01,SINEAD,1,70.0,3.5,5.6,May,5,Tuesday,1
563,2018-05-15,Men's camo color,SCHJ01,JJ,1,45.0,2.25,3.6,May,5,Tuesday,1
563,2018-05-15,Men's hair cut,SCHJ01,JJ,1,60.0,3.0,4.8,May,5,Tuesday,1
564,2018-05-15,Highlights partial,RODP01,JOANNE,1,160.0,8.0,12.8,May,5,Tuesday,1
564,2018-05-15,Women's hair cut,RODP01,SINEAD,1,90.0,4.5,7.2,May,5,Tuesday,1
565,2018-05-15,Women's hair cut,CHMY01,BECKY,1,60.0,3.0,4.8,May,5,Tuesday,1
566,2018-05-15,Men's hair cut,BREF01,JJ,1,40.0,2.0,3.2,May,5,Tuesday,1
566,2018-05-15,PO Purify sh 250ml,BREF01,JJ,1,30.73,1.5365,2.4584,May,5,Tuesday,1
567,2018-05-15,Blowdry,SARK01,JJ,1,52.0,2.6,4.16,May,5,Tuesday,1
567,2018-05-15,Partial highlights and color,SARK01,JOANNE,1,140.0,7.0,11.2,May,5,Tuesday,1
569,2018-05-15,Men's hair cut,MACR01,SINEAD,1,35.0,1.75,2.8,May,5,Tuesday,1
570,2018-05-15,Color touch up,ROSM01,JOANNE,1,50.0,2.5,4.0,May,5,Tuesday,1
571,2018-05-15,Women's hair cut,KUCM02,JJ,1,82.0,4.1,6.56,May,5,Tuesday,1
571,2018-05-15,Shu cleansing oil con 250m,KUCM02,JJ,1,50.4,2.52,4.032,May,5,Tuesday,1
571,2018-05-15,Shu cleansing oil sh400ml,KUCM02,JJ,1,50.4,2.52,4.032,May,5,Tuesday,1
572,2018-05-15,Men's hair cut,MELE01,BECKY,1,30.0,1.5,2.4,May,5,Tuesday,1
573,2018-05-15,Accent lights and color,BURT01,JOANNE,1,45.0,2.25,3.6,May,5,Tuesday,1
573,2018-05-15,Men's hair cut,BURT01,JJ,1,50.0,2.5,4.0,May,5,Tuesday,1
574,2018-05-15,Women's hair cut,WOOJ01,SINEAD,1,90.0,4.5,7.2,May,5,Tuesday,1
575,2018-05-15,Women's hair cut,ARAI01,BECKY,1,60.0,3.0,4.8,May,5,Tuesday,1
576,2018-05-15,Women's hair cut,LUCL01,BECKY,1,60.0,3.0,4.8,May,5,Tuesday,1
577,2018-05-15,Blowdry,BROS01,BECKY,1,50.0,2.5,4.0,May,5,Tuesday,1
578,2018-05-16,Women's hair cut,SCHH01,JJ,1,102.0,5.1,8.16,May,5,Wednesday,2
579,2018-05-16,Blowdry,KUKK01,SINEAD,1,50.0,2.5,4.0,May,5,Wednesday,2
58,2018-03-28,Men's hair cut,CAND01,JJ,1,40.0,2.0,3.2,March,3,Wednesday,2
58,2018-03-28,Men's camo color,CAND01,JJ,1,45.0,2.25,3.6,March,3,Wednesday,2
580,2018-05-16,Blowdry,NELT01,SINEAD,1,50.0,2.5,4.0,May,5,Wednesday,2
581,2018-05-16,Consultation,RODP01,SINEAD,1,25.0,1.25,2.0,May,5,Wednesday,2
582,2018-05-16,Men's hair cut,SARA01,JJ,1,60.0,3.0,4.8,May,5,Wednesday,2
584,2018-05-16,Women's hair cut,REIL01,SINEAD,1,70.0,3.5,5.6,May,5,Wednesday,2
585,2018-05-16,Women's hair cut,LAMD01,JJ,1,82.0,4.1,6.56,May,5,Wednesday,2
587,2018-05-16,Blowdry,ELSM01,SINEAD,1,30.0,1.5,2.4,May,5,Wednesday,2
588,2018-05-16,Women's hair cut,BUSC01,JJ,1,102.0,5.1,8.16,May,5,Wednesday,2
589,2018-05-16,Women's hair cut,CURK01,SINEAD,1,70.0,3.5,5.6,May,5,Wednesday,2
59,2018-03-29,Women's hair cut,LINM01,JJ,1,82.0,4.1,6.56,March,3,Thursday,3
590,2018-05-16,Men's hair cut,MACT01,JJ,1,40.0,2.0,3.2,May,5,Wednesday,2
592,2018-05-17,Blowdry,HUDM01,JJ,1,52.0,2.6,4.16,May,5,Thursday,3
593,2018-05-17,Women's hair cut,STOS01,SINEAD,1,70.0,3.5,5.6,May,5,Thursday,3
594,2018-05-17,Women's hair cut,SIDA01,BECKY,1,60.0,3.0,4.8,May,5,Thursday,3
595,2018-05-17,Women's hair cut,OKEM01,JJ,1,102.0,5.1,8.16,May,5,Thursday,3
596,2018-05-17,Men's hair cut,YATT01,BECKY,1,50.0,2.5,4.0,May,5,Thursday,3
597,2018-05-17,Blowdry,HOLL01,SINEAD,1,50.0,2.5,4.0,May,5,Thursday,3
598,2018-05-17,Women's hair cut,MANL01,SINEAD,1,90.0,4.5,7.2,May,5,Thursday,3
599,2018-05-17,Blowdry,PER*01,BECKY,1,30.0,1.5,2.4,May,5,Thursday,3
60,2018-03-29,Women's hair cut,REDM01,JJ,1,82.0,4.1,6.56,March,3,Thursday,3
600,2018-05-17,Accent lights and color,CHUA01,JOANNE,1,130.0,6.5,10.4,May,5,Thursday,3
600,2018-05-17,Women's hair cut,CHUA01,JJ,1,92.0,4.6,7.36,May,5,Thursday,3
601,2018-05-17,Blowdry,WOOD02,BECKY,1,50.0,2.5,4.0,May,5,Thursday,3
602,2018-05-17,Partial highlights and color,BURL01,JOANNE,1,170.0,8.5,13.6,May,5,Thursday,3
602,2018-05-17,Blowdry,BURL01,SINEAD,1,40.0,2.0,3.2,May,5,Thursday,3
603,2018-05-17,Men's hair cut,HAMD01,BECKY,1,30.0,1.5,2.4,May,5,Thursday,3
604,2018-05-17,Women's hair cut,PRIL01,JJ,1,51.0,2.55,4.08,May,5,Thursday,3
605,2018-05-17,Color mini touch up,HILJ01,JOANNE,1,50.0,2.5,4.0,May,5,Thursday,3
605,2018-05-17,Blowdry,HILJ01,SINEAD,1,50.0,2.5,4.0,May,5,Thursday,3
606,2018-05-17,Blowdry,COLG01,BECKY,1,50.0,2.5,4.0,May,5,Thursday,3
607,2018-05-17,Men's hair cut,ABL*01,BECKY,1,30.0,1.5,2.4,May,5,Thursday,3
607,2018-05-17,Shu silk bloom con 250,ABL*01,BECKY,1,46.0,2.3,3.68,May,5,Thursday,3
608,2018-05-17,Highlights partial,LOCS01,JOANNE,1,140.0,7.0,11.2,May,5,Thursday,3
609,2018-05-17,Blowdry,BUEM01,SINEAD,1,30.0,1.5,2.4,May,5,Thursday,3
61,2018-03-29,Women's hair cut,FLEC01,JJ,1,82.0,4.1,6.56,March,3,Thursday,3
612,2018-05-17,Women's hair cut,MORB01,JJ,1,102.0,5.1,8.16,May,5,Thursday,3
612,2018-05-17,Color full color,MORB01,JOANNE,1,85.0,4.25,6.8,May,5,Thursday,3
613,2018-05-17,Shu cleansing oil sh400ml,WALK_IN,JJ,1,50.4,2.52,4.032,May,5,Thursday,3
613,2018-05-17,Shu cleansing oil con 250m,WALK_IN,JJ,1,50.4,2.52,4.032,May,5,Thursday,3
616,2018-05-17,Men's hair cut,SHAA01,SINEAD,1,55.0,2.75,4.4,May,5,Thursday,3
618,2018-05-18,Women's hair cut,SIRM01,BECKY,1,80.0,4.0,6.4,May,5,Friday,4
619,2018-05-18,Highlights partial,SAMJ01,JOANNE,1,150.0,7.5,12.0,May,5,Friday,4
619,2018-05-18,Women's hair cut,SAMJ01,JJ,1,66.5,3.325,5.32,May,5,Friday,4
62,2018-03-30,Women's hair cut,CHUC01,JJ,1,82.0,4.1,6.56,March,3,Friday,4
620,2018-05-18,Blowdry,PENM01,BECKY,1,50.0,2.5,4.0,May,5,Friday,4
621,2018-05-18,PO strength cure sh 50ml,WALK_IN,BECKY,1,9.25,0.4625,0.74,May,5,Friday,4
621,2018-05-18,PO color fanatic 30ml,WALK_IN,BECKY,1,9.25,0.4625,0.74,May,5,Friday,4
622,2018-05-18,Men's hair cut,OHAG01,JJ,1,60.0,3.0,4.8,May,5,Friday,4
622,2018-05-18,PO color fanatic 200ml,OHAG01,BECKY,1,30.5,1.525,2.44,May,5,Friday,4
624,2018-05-18,Partial highlights and color,ROBT01,JOANNE,1,140.0,7.0,11.2,May,5,Friday,4
626,2018-05-18,miscellaneous,WALK_IN,BECKY,1,0.0,0.0,0.0,May,5,Friday,4
628,2018-05-18,Women's hair cut,NICS01,JJ,1,82.0,4.1,6.56,May,5,Friday,4
629,2018-05-18,Women's hair cut,CORS02,BECKY,1,60.0,3.0,4.8,May,5,Friday,4
63,2018-03-30,Women's hair cut,PRIM01,JJ,1,51.0,2.55,4.08,March,3,Friday,4
630,2018-05-18,Women's hair cut,WOOD01,JJ,1,102.0,5.1,8.16,May,5,Friday,4
630,2018-05-18,Color touch up,WOOD01,JOANNE,1,70.0,3.5,5.6,May,5,Friday,4
632,2018-05-18,Blowdry,SKUD01,BECKY,1,50.0,2.5,4.0,May,5,Friday,4
633,2018-05-18,Men's hair cut,MASA01,BECKY,1,30.0,1.5,2.4,May,5,Friday,4
634,2018-05-18,Men's hair cut,DELC01,BECKY,1,50.0,2.5,4.0,May,5,Friday,4
635,2018-05-18,Women's hair cut,MESK01,JJ,1,82.0,4.1,6.56,May,5,Friday,4
636,2018-05-19,Blowdry,WONM02,JJ,1,52.0,2.6,4.16,May,5,Saturday,5
637,2018-05-19,Women's hair cut,MCKS01,SINEAD,1,70.0,3.5,5.6,May,5,Saturday,5
637,2018-05-19,Women's hair cut,IORC01,JJ,1,82.0,4.1,6.56,May,5,Saturday,5
639,2018-05-19,Women's hair cut,JONW01,KELLY,1,45.0,2.25,3.6,May,5,Saturday,5
639,2018-05-19,Women's hair cut,JONE01,KELLY,1,45.0,2.25,3.6,May,5,Saturday,5
639,2018-05-19,elchim dryer,JONE01,KELLY,1,249.0,12.45,19.92,May,5,Saturday,5
639,2018-05-19,Elchim diffuser,JONE01,KELLY,1,0.0,0.0,0.0,May,5,Saturday,5
64,2018-04-01,Consultation,SLEA01,HOUSE,1,0.0,0.0,0.0,April,4,Sunday,6
641,2018-05-19,Blowdry,RUTR01,JJ,1,52.0,2.6,4.16,May,5,Saturday,5
641,2018-05-19,Color full color,RUTR01,JOANNE,1,85.0,4.25,6.8,May,5,Saturday,5
641,2018-05-19,LP hair touch up brown 59ml,RUTR01,JJ,1,18.45,0.9225,1.476,May,5,Saturday,5
643,2018-05-19,Women's hair cut,HASS01,KELLY,1,45.0,2.25,3.6,May,5,Saturday,5
643,2018-05-19,PO color fanatic 200ml,HASS01,KELLY,1,27.45,1.3725,2.196,May,5,Saturday,5
644,2018-05-19,Dry updo,LEIF01,SINEAD,1,90.0,4.5,7.2,May,5,Saturday,5
645,2018-05-19,Women's hair cut,OGOE01,KELLY,1,45.0,2.25,3.6,May,5,Saturday,5
647,2018-05-19,Full Highlights and color,RONM01,JOANNE,1,160.0,8.0,12.8,May,5,Saturday,5
648,2018-05-19,Women's hair cut,NELT01,SINEAD,1,90.0,4.5,7.2,May,5,Saturday,5
649,2018-05-19,Color touch up,DANJ01,JOANNE,1,70.0,3.5,5.6,May,5,Saturday,5
649,2018-05-19,Blowdry,DANJ01,BECKY,1,50.0,2.5,4.0,May,5,Saturday,5
65,2018-04-01,Consultation,SLEA01,HOUSE,1,0.0,0.0,0.0,April,4,Sunday,6
