cliente,qte_faltas,moda_servico_faltante,moda_staff_faltante,moda_servico_cancelado,moda_staff_cancelado,moda_staff_cancelador_cancelado,antecedencia,qte_cancelamento,qte_servicos_por_dia,moda_staff_prestou_servico,moda_dia,mean,median,std,max,min,frequencia
BREM01,0.0,,,,,,,0.0,1.0,SINEAD,Thursday,48.333333333333336,55.0,11.547005383792515,55.0,35.0,3
COLJ01,0.0,,,,,,,0.0,1.0,JJ,Friday,53.333333333333336,60.0,11.547005383792516,60.0,40.0,3
KLEA01,0.0,,,,,,,0.0,1.2,BECKY,Friday,43.13333333333333,50.0,10.644560426183254,50.0,28.8,6
COLG01,0.0,,,,,,,0.0,1.2727272727272727,BECKY,Friday,64.0,50.0,27.015664971385657,140.0,50.0,14
TINA02,0.0,,,,,,,0.0,1.0,JJ,Friday,82.0,82.0,,82.0,82.0,1
THOD01,0.0,,,,,,,0.0,1.25,JJ,Friday,52.279999999999994,60.0,10.582627273035747,60.0,40.0,5
CRAY01,0.0,,,,,,,0.0,2.0,KELLY,Friday,46.4,46.4,12.16223663640862,55.0,37.8,2
SIRM01,0.0,,,,,,,0.0,1.0,BECKY,Friday,91.0,50.0,84.64960458003071,250.0,30.0,10
CHEW01,0.0,,,,,,,0.0,1.0,JJ,Friday,61.333333333333336,82.0,54.04936015655813,102.0,0.0,3
SPIJ01,0.0,,,,,,,0.0,1.0,BECKY,Friday,40.0,40.0,14.142135623730951,50.0,30.0,2
ROBT01,0.0,,,,,,,0.0,1.0,JOANNE,Friday,105.0,105.0,49.49747468305833,140.0,70.0,2
WIL*01,0.0,,,SHCW,JJ,SHCW,2.0,1.0,1.6666666666666667,JJ,Friday,75.2,70.0,21.194338866782328,102.0,52.0,5
REIL01,0.0,,,,,,,0.0,1.0,BECKY,Friday,57.333333333333336,52.0,11.015141094572204,70.0,50.0,3
HUDS01,0.0,,,,,,,0.0,1.25,JJ,Sunday,65.67999999999999,59.4,16.673691852736155,85.0,50.0,5
TINA01,0.0,,,,,,,0.0,1.5,JJ,Friday,70.93333333333334,82.0,37.8340234885656,102.0,28.8,3
YANC01,0.0,,,,,,,0.0,1.0,JOANNE,Friday,50.0,50.0,,50.0,50.0,1
WARG01,0.0,,,,,,,0.0,1.0,JJ,Friday,72.0,67.0,24.49489742783178,102.0,52.0,4
SCHC01,0.0,,,,,,,0.0,2.0,JOANNE,Friday,83.2075,81.05,47.282099061554646,140.0,30.73,4
MACV01,0.0,,,,,,,0.0,1.0,BECKY,Friday,60.0,60.0,,60.0,60.0,1
VERR01,0.0,,,,,,,0.0,1.0,JJ,Friday,82.0,82.0,,82.0,82.0,1
CARK01,0.0,,,SBD,KELLY,SBD,1.0,1.0,1.6666666666666667,KELLY,Friday,41.0,40.0,8.215838362577491,55.0,35.0,5
TAGS02,0.0,,,CFC,KELLY,CFC,0.0,2.0,2.0,KELLY,Friday,55.0,55.0,14.142135623730951,65.0,45.0,2
OSES01,0.0,,,,,,,0.0,1.0,JJ,Friday,82.0,82.0,,82.0,82.0,1
ALIA01,0.0,,,,,,,0.0,1.0,BECKY,Friday,40.0,40.0,14.142135623730951,50.0,30.0,2
MASR01,0.0,,,,,,,0.0,1.0,JJ,Saturday,32.0,32.0,,32.0,32.0,1
MARG01,0.0,,,,,,,0.0,1.0,JJ,Saturday,53.333333333333336,60.0,11.547005383792516,60.0,40.0,3
TUMM01,0.0,,,,,,,0.0,2.5,JOANNE,Saturday,67.82000000000001,62.1,14.557197532492303,92.0,55.0,5
MAXI01,0.0,,,,,,,0.0,1.0,KELLY,Saturday,35.0,35.0,,35.0,35.0,1
SCHH01,0.0,,,,,,,0.0,1.5,JJ,Wednesday,69.0,76.0,46.35083602266522,120.0,0.0,6
GARJ01,0.0,,,,,,,0.0,2.0,JJ,Saturday,74.45,83.5,31.681908612539956,102.0,28.8,4
DEUD01,0.0,,,,,,,0.0,1.0,KELLY,Saturday,45.0,45.0,,45.0,45.0,1
RICS01,0.0,,,,,,,0.0,1.0,JJ,Saturday,82.0,82.0,,82.0,82.0,1
PHIJ01,0.0,,,,,,,0.0,1.3333333333333333,SINEAD,Saturday,55.182500000000005,60.0,18.83170796821149,70.0,30.73,4
LYNG01,0.0,,,,,,,0.0,1.0,JJ,Thursday,55.0,60.0,10.0,60.0,40.0,4
ROPR01,0.0,,,,,,,0.0,3.0,KELLY,Saturday,80.0,65.0,63.835726674018524,150.0,25.0,3
SASA01,0.0,,,,,,,0.0,1.0,KELLY,Saturday,55.0,55.0,,55.0,55.0,1
MARM01,0.0,,,,,,,0.0,2.5,JOANNE,Saturday,84.0,65.0,96.36129928555343,249.0,0.0,5
BOTN01,0.0,,,,,,,0.0,1.0,BECKY,Saturday,42.5,42.5,10.606601717798213,50.0,35.0,2
STOD01,0.0,,,,,,,0.0,1.0,BECKY,Saturday,45.0,50.0,13.228756555322953,55.0,30.0,3
BREH01,0.0,,,,,,,0.0,1.3333333333333333,JJ,Sunday,77.35,92.0,37.18185041118852,102.0,23.4,4
HUDM01,0.0,,,SBD,BECKY,SBD,2.5,2.0,1.1,JJ,Saturday,59.54545454545455,52.0,40.917877844198216,160.0,0.0,11
BUZI01,0.0,,,,,,,0.0,1.0,JJ,Friday,0.0,0.0,,0.0,0.0,1
WOOJ01,0.0,,,CTU,JJ,CTU,8.0,2.0,1.3,JJ,Saturday,62.15384615384615,52.0,27.25755599782121,140.0,32.0,13
STEK02,0.0,,,,,,,0.0,2.0,KELLY,Tuesday,27.5,27.5,38.890872965260115,55.0,0.0,2
NIZS01,0.0,,,,,,,0.0,3.0,BECKY,Tuesday,41.416666666666664,33.52,16.153985060452836,60.0,30.73,3
MOOH01,0.0,,,,,,,0.0,1.5,JJ,Tuesday,35.43333333333333,24.3,42.118444099151304,82.0,0.0,3
RICP01,0.0,,,,,,,0.0,1.0,SINEAD,Tuesday,73.75,75.0,14.9303940559741,90.0,55.0,4
SARA01,0.0,,,,,,,0.0,1.0,JJ,Wednesday,53.333333333333336,60.0,11.547005383792516,60.0,40.0,3
TAYL01,0.0,,,,,,,0.0,1.0,JOANNE,Tuesday,160.0,160.0,0.0,160.0,160.0,2
HOAS01,0.0,,,,,,,0.0,1.0,KELLY,Tuesday,55.0,55.0,,55.0,55.0,1
HOUN01,0.0,,,,,,,0.0,1.0,JJ,Tuesday,82.0,82.0,,82.0,82.0,1
TRES01,0.0,,,,,,,0.0,1.0,BECKY,Tuesday,30.0,30.0,,30.0,30.0,1
CHIC01,0.0,,,,,,,0.0,1.0,KELLY,Tuesday,45.0,45.0,,45.0,45.0,1
DHAN01,0.0,,,,,,,0.0,2.0,JJ,Tuesday,58.5,58.5,23.33452377915607,75.0,42.0,2
MELE01,0.0,,,,,,,0.0,2.0,BECKY,Tuesday,33.125,31.0,12.317839366815377,50.0,20.5,4
MACS01,0.0,,,,,,,0.0,1.0,JJ,Tuesday,20.0,20.0,,20.0,20.0,1
HOFJ01,0.0,,,,,,,0.0,1.0,KELLY,Tuesday,55.0,55.0,,55.0,55.0,1
BROS02,0.0,,,,,,,0.0,1.0,BECKY,Friday,40.0,40.0,14.142135623730951,50.0,30.0,2
JOHM01,0.0,,,,,,,0.0,1.0,KELLY,Tuesday,35.0,35.0,,35.0,35.0,1
MOSR01,0.0,,,,,,,0.0,1.0,JJ,Tuesday,82.0,82.0,,82.0,82.0,1
CHIT01,0.0,,,,,,,0.0,1.0,JJ,Wednesday,82.0,82.0,,82.0,82.0,1
WITC01,0.0,,,,,,,0.0,1.0,KELLY,Wednesday,35.0,35.0,,35.0,35.0,1
SINM01,0.0,,,,,,,0.0,2.0,JJ,Friday,140.6,140.6,82.87291475506336,199.2,82.0,2
WAGM01,0.0,,,,,,,0.0,1.0,JOANNE,Wednesday,50.0,50.0,,50.0,50.0,1
SLUS01,0.0,,,,,,,0.0,1.25,JJ,Wednesday,50.64,53.2,10.101881012959913,60.0,40.0,5
POTR01,0.0,,,SHCM,JJ,SHCM,7.0,1.0,1.0,JJ,Wednesday,56.0,60.0,8.94427190999916,60.0,40.0,5
CORS01,0.0,,,,,,,0.0,1.3333333333333333,JJ,Wednesday,106.5,102.0,24.241837114102278,140.0,82.0,4
VERM01,0.0,,,,,,,0.0,1.0,JJ,Thursday,92.0,92.0,14.142135623730951,102.0,82.0,2
MACD01,0.0,,,,,,,0.0,1.0,KELLY,Wednesday,55.0,55.0,,55.0,55.0,1
TRIL01,0.0,,,,,,,0.0,1.0,JJ,Wednesday,82.0,82.0,,82.0,82.0,1
WAL*01,0.0,,,,,,,0.0,1.0,JJ,Wednesday,82.0,82.0,,82.0,82.0,1
BORJ01,0.0,,,,,,,0.0,1.0,JJ,Tuesday,50.0,50.0,14.142135623730951,60.0,40.0,2
DONN01,0.0,,,,,,,0.0,1.0,JJ,Thursday,32.0,32.0,,32.0,32.0,1
RIHM01,0.0,,,,,,,0.0,1.0,BECKY,Thursday,30.0,30.0,,30.0,30.0,1
MANL01,1.0,CON,SINEAD,,,,,0.0,1.0,SINEAD,Thursday,80.0,80.0,10.0,90.0,70.0,3
HILE01,0.0,,,,,,,0.0,1.0,JJ,Thursday,92.0,92.0,14.142135623730951,102.0,82.0,2
GHOP01,0.0,,,,,,,0.0,2.0,BECKY,Friday,87.5,75.0,28.722813232690143,130.0,70.0,4
RUBA01,0.0,,,,,,,0.0,1.5,JJ,Thursday,48.03333333333333,62.1,42.77152479551476,82.0,0.0,3
KOZC01,0.0,,,,,,,0.0,1.0,KELLY,Thursday,55.0,55.0,,55.0,55.0,1
BROS01,0.0,,,SBD,BECKY,SBD,1.5,2.0,1.0,BECKY,Tuesday,98.75,50.0,87.41322227541683,250.0,50.0,8
BURL01,0.0,,,,,,,0.0,2.0,JOANNE,Thursday,88.75,72.5,56.32864872040396,170.0,40.0,4
AINM01,0.0,,,,,,,0.0,1.0,HOUSE,Thursday,166.0,166.0,90.50966799187809,230.0,102.0,2
WYRC01,0.0,,,,,,,0.0,1.0,JJ,Friday,68.0,70.0,35.04283093587046,102.0,32.0,3
JM01,0.0,,,,,,,0.0,1.0,KELLY,Thursday,10.0,10.0,,10.0,10.0,1
BHAT01,0.0,,,,,,,0.0,1.0,BECKY,Thursday,60.0,60.0,,60.0,60.0,1
MOLA01,0.0,,,SHCW,JJ,SHCW,7.0,1.0,1.3333333333333333,JJ,Thursday,81.85,92.0,28.567288985831325,102.0,41.4,4
HENB01,0.0,,,SHCM,JJ,SHCM,7.0,2.0,1.0,JJ,Thursday,53.333333333333336,60.0,11.547005383792515,60.0,40.0,3
PLUJ01,0.0,,,,,,,0.0,2.0,JJ,Friday,31.25,32.5,25.289984842489197,60.0,0.0,4
BURT01,0.0,,,,,,,0.0,1.5,JJ,Tuesday,51.666666666666664,50.0,7.637626158259733,60.0,45.0,3
LEEM01,0.0,,,,,,,0.0,2.0,JJ,Thursday,83.5,88.5,20.24022397768035,102.0,55.0,4
RUTR01,0.0,,,,,,,0.0,2.3333333333333335,JJ,Saturday,63.49285714285714,85.0,40.99390634158761,102.0,0.0,7
KATS01,0.0,,,,,,,0.0,1.0,KELLY,Friday,55.0,55.0,,55.0,55.0,1
PANP01,0.0,,,,,,,0.0,1.0,KELLY,Friday,55.0,55.0,,55.0,55.0,1
